,security,DS_DSCODE_C,DS_IS_MAJOR,DS_IS_PRIMQT,DS_SECTYPE,DS_LAST_PRICE_DATE,DS_STATUS,DS_REGION,DS_COVERAGE,DS_QT_NAME,WS_SEC_6035,SYM_INST_ORGPERMID,Industry Group,Sector
673,@UNION187,41418W,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,UNION PETROCHEMICAL,C764CDC00,4295893067,INDUS,-
674,@UNIQU9,29238H,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,UNIQUE MINING SERVICES,C764RP500,4295893386,RESOURC,-
675,@UNITE71,29954L,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,UNITED PAPER,C7642P700,4295892711,INDUS,PAPER
676,@UNIVA14,70253L,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,UAC GLOBAL PUBLIC COMPANY LIMITED,C764H58S0,4297038476,INDUS,PETRO
677,@UNIVA6,28136F,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,UNIVANICH PALM OIL,C764WH400,4295893442,AGRO,AGRI
678,@UNIVE46,776915,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,UNIVENTURES,C76441820,4295892741,PROPCON,PROP
679,@UOBKA2,32353P,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,UOB KAY HIAN SECURITIES,C764GEA00,4295893170,FINCIAL,FIN
680,@UTDSE3,14415U,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,BEYOND SECURITIES,C764BL180,4295893018,FINCIAL,FIN
681,@UTILI42,2706Z8,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,UTILITY BUSINESS ALLIANCE,C764H14I0,5000049313,SERVICE,-
682,@VANAC3,141371,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,VANACHAI GROUP,C764H7290,4295893319,PROPCON,CONMAT
683,@VAROP6,314928,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,VAROPAKORN,C764B1930,4295893012,INDUS,IMM
684,@VERAN2,9445F3,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,VERANDA RESORT,C764H1070,5068932876,SERVICE,TOURISM
685,@VGIGL2,87512M,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,VGI,C764H5220,5035253485,SERVICE,MEDIA
686,@VIBHA2,315608,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,VIBHAVADI MEDICAL,C764H7310,4295893300,SERVICE,HELTH
687,@VICHI1,9069NF,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,VICHITBHAN PALMOIL,C764H55V0,5042374151,AGRO,AGRI
688,@VILLA44,95346X,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,VILLA KUNALAI,C764H10A0,5062389765,PROPCON,-
689,@VINTA8,75487N,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,META CORPORATION,C764H5010,5000052625,PROPCON,-
690,@VINTC1,92315W,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,VINTCOM TECHNOLOGY,C764H00E0,4297142659,TECH,-
691,@WARRI5,2710EV,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,WARRIX SPORT,C764H15A0,5083170607,CONSUMP,-
692,@WATTA4,887149,Y,1,Ordinary Share,2023-12-07 00:00:00,ACTIVE,THA,FULL COVERAGE,WATTANA KARNPAET,C764H7320,4295893322,SERVICE,HELTH
693,@WATTA9,9166LF,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,WATTANAPAT HOSPITAL TRANG,C764H0010,5055671319,SERVICE,HELTH
694,@WELLG1,98888U,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,WELL GRADED ENGINEERING,C764H11T0,5074838621,PROPCON,CONS
695,@WHACO3,87808K,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,WHA,C764H5230,5035493900,RESOURC,ENERG
696,@WHAUT2,9063AG,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,WHA UTILITIES AND POWER,C764H0ZS0,5000024158,RESOURC,ENERG
697,@WICEL1,9827VY,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,WICE LOGISTICS,C764H57M0,5045871248,SERVICE,TRANS
698,@WIIKH2,865372,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,WIIK,C764H7410,4295893294,PROPCON,CONMAT
699,@WINDO3,2774T4,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,WINDOW ASIA,,5082933535,PROPCON,CONMAT
700,@WINNE12,2573MV,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,WINNERGY MEDICAL,C764H12K0,5079200855,CONSUMP,-
701,@WINNE6,90600A,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,WINNER GROUP ENTERPRISE,C764H5440,5040043633,AGRO,-
